ownerAddress,publicKey,operatorPublicKeys,active,effectiveness,attestations
0x06a6dc2Fc119775A094813B8DA83b2e2644f4F70,0xb95e35e5cb5502e8c5eb4345c82016b870c26341bcd952a7662309c24dffc83052d4902891011cf806ec34f853fe1e18,0a837806d09241c542c6712e955bb23aa0c4313cce3c5a5873db5638b8272653;91add6368b64da7d69b6862f54bb1af3b3be02c13aac54dee7cacbc9e9819952;3635c7c715ae4e48c89f217a43191c70e692921f0815605463e8be61530edf47;f7713dd46bccb4b2ebf4b3a36def6389aa695838f57c6bae6db71b7d79a8c73e,true,80,99
0x06a6dc2Fc119775A094813B8DA83b2e2644f4F70,0xac59bd405bfd5d66ead1b0575341248352081fb9333aa717b4578f9150a6f7b51d4996755996b33895e0e9e1b179949b,0a837806d09241c542c6712e955bb23aa0c4313cce3c5a5873db5638b8272653;91add6368b64da7d69b6862f54bb1af3b3be02c13aac54dee7cacbc9e9819952;3635c7c715ae4e48c89f217a43191c70e692921f0815605463e8be61530edf47;f7713dd46bccb4b2ebf4b3a36def6389aa695838f57c6bae6db71b7d79a8c73e,true,76,99
0x06a6dc2Fc119775A094813B8DA83b2e2644f4F70,0xb6a39a3f0f7c7a614b7f193ebaba24ea4693a0c099902bfb65fae2015b75af05e00680d49993c5e3bfd3396326885da9,91add6368b64da7d69b6862f54bb1af3b3be02c13aac54dee7cacbc9e9819952;0a837806d09241c542c6712e955bb23aa0c4313cce3c5a5873db5638b8272653;3635c7c715ae4e48c89f217a43191c70e692921f0815605463e8be61530edf47;f7713dd46bccb4b2ebf4b3a36def6389aa695838f57c6bae6db71b7d79a8c73e,false,0,0
0x06a6dc2Fc119775A094813B8DA83b2e2644f4F70,0x8490c176f4b770f38fa0c8a6e63571efae623bc1e0d2e29098516df17333f7433b2614665b3fff53400c584703624bcc,91add6368b64da7d69b6862f54bb1af3b3be02c13aac54dee7cacbc9e9819952;0a837806d09241c542c6712e955bb23aa0c4313cce3c5a5873db5638b8272653;3635c7c715ae4e48c89f217a43191c70e692921f0815605463e8be61530edf47;f7713dd46bccb4b2ebf4b3a36def6389aa695838f57c6bae6db71b7d79a8c73e,true,63,99
0x06a6dc2Fc119775A094813B8DA83b2e2644f4F70,0xb20fe6182d007e9eccd0cd871e3436eb6483dde9addbaa0e3578056dc5b956f866b79e8c329b1b0420be97b58116c564,91add6368b64da7d69b6862f54bb1af3b3be02c13aac54dee7cacbc9e9819952;0a837806d09241c542c6712e955bb23aa0c4313cce3c5a5873db5638b8272653;3635c7c715ae4e48c89f217a43191c70e692921f0815605463e8be61530edf47;f7713dd46bccb4b2ebf4b3a36def6389aa695838f57c6bae6db71b7d79a8c73e,true,75,97
0x06a6dc2Fc119775A094813B8DA83b2e2644f4F70,0x9643492207df994dcdd328e9ff1392e97afd1b100ad42c35fe62e5d1d862a8fd7ca0510d15777ea3cfd18a72b9d642fd,91add6368b64da7d69b6862f54bb1af3b3be02c13aac54dee7cacbc9e9819952;0a837806d09241c542c6712e955bb23aa0c4313cce3c5a5873db5638b8272653;3635c7c715ae4e48c89f217a43191c70e692921f0815605463e8be61530edf47;f7713dd46bccb4b2ebf4b3a36def6389aa695838f57c6bae6db71b7d79a8c73e,true,66,100
0x06a6dc2Fc119775A094813B8DA83b2e2644f4F70,0x8b79115747930552a9634b8a0ff400feeb4f29ece21677ea9a2d037f3b0120d8ad5dfd7c11c1d0eacc84ca703767bb69,91add6368b64da7d69b6862f54bb1af3b3be02c13aac54dee7cacbc9e9819952;0a837806d09241c542c6712e955bb23aa0c4313cce3c5a5873db5638b8272653;3635c7c715ae4e48c89f217a43191c70e692921f0815605463e8be61530edf47;f7713dd46bccb4b2ebf4b3a36def6389aa695838f57c6bae6db71b7d79a8c73e,true,72,98
0x06a6dc2Fc119775A094813B8DA83b2e2644f4F70,0x8c4eec1fc4240bd867120a993c9c389eec0938d7547dc8f168ac271c70dab65b19d1944109bdea31267336ee74f19bcf,91add6368b64da7d69b6862f54bb1af3b3be02c13aac54dee7cacbc9e9819952;0a837806d09241c542c6712e955bb23aa0c4313cce3c5a5873db5638b8272653;3635c7c715ae4e48c89f217a43191c70e692921f0815605463e8be61530edf47;f7713dd46bccb4b2ebf4b3a36def6389aa695838f57c6bae6db71b7d79a8c73e,false,0,0
0x06a6dc2Fc119775A094813B8DA83b2e2644f4F70,0x8f5165b044140d8d834b159ccf6c29fcd366fc635608c95fd337a4daa4031e1268678169b6436dc3f2bfc80ceba9fc03,91add6368b64da7d69b6862f54bb1af3b3be02c13aac54dee7cacbc9e9819952;0a837806d09241c542c6712e955bb23aa0c4313cce3c5a5873db5638b8272653;3635c7c715ae4e48c89f217a43191c70e692921f0815605463e8be61530edf47;f7713dd46bccb4b2ebf4b3a36def6389aa695838f57c6bae6db71b7d79a8c73e,true,83,99
0x06a6dc2Fc119775A094813B8DA83b2e2644f4F70,0x97ed79a37ce1f24fcd0724e1202509ecf45085d9a718bd3726b9231f6de1fca284fd5490f52e1f6a7990ffd3ec31b3de,91add6368b64da7d69b6862f54bb1af3b3be02c13aac54dee7cacbc9e9819952;0a837806d09241c542c6712e955bb23aa0c4313cce3c5a5873db5638b8272653;3635c7c715ae4e48c89f217a43191c70e692921f0815605463e8be61530edf47;f7713dd46bccb4b2ebf4b3a36def6389aa695838f57c6bae6db71b7d79a8c73e,false,0,0
0x59eCf48345A221E0731E785ED79eD40d0A94E2A5,0xa472cf65cd30b98234d9a1fcd6e50520f5c5d2e7d1b7e6beb1c7a0c064764d79b945e000b8a3d245cd0d87e1f3996e22,91add6368b64da7d69b6862f54bb1af3b3be02c13aac54dee7cacbc9e9819952;0a837806d09241c542c6712e955bb23aa0c4313cce3c5a5873db5638b8272653;39510f99809eb56cd89882dfbd32aa6190ac8649ff3464b692347a4c70a16e1d;f7713dd46bccb4b2ebf4b3a36def6389aa695838f57c6bae6db71b7d79a8c73e,true,97,100
