name,ownerAddress,publicKey
BloxStaking,0x943a1B677da0Ac80F380F08731faE841B1201402,0x000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000002644c5330744c5331435255644a54694253553045675546564354456c4449457446575330744c533074436b314a53554a4a616b464f516d64726357687261556335647a424351564646526b464254304e425554684254556c4a516b4e6e53304e42555556424f4852585247307862544e7459573552613078776556704c4d7a634b4d474e4852476f79646c42545753745257564642643342574f585a705754684b566c677a54324a30566a4e4c4c3234784e79397065475a325645783561475a4b636b677a5953747053314e4963446c3557455534635170364e3252684f546c61567a5534527a4179654446305a6e7075563152454d6d4670626b6c704d444177646a5135526a4654647a6c594f55747451556735567a4e47646a426152457061647a5a4b5646643352305a69436d5a69546d4d326347567654473575636e6c6c576c56586230395a516d733054566732556d395156325a584e554a456155526165484671566a6476624656335a6e46424d57354f65553936525846434d45746b5357384b624578535a4641344f445a424e464a725a47706a55446335615764724d30526a565664434d4468705a6c4d3453466c76533031325a555a72656b30795232646d4f47354c526e466d536e46594e7a6c796246523463417053546e6c6865555a4f5958685a57455934656e42424d486c5952474648513049315469747a5a314e32596a6731574441796457564361314e61644646554d554d7954474d78576c5a6b624552465a5670474e464e6c436b68335355524255554643436930744c5330745255354549464a545153425156554a4d53554d675330565a4c5330744c53304b00000000000000000000000000000000000000000000000000000000
StoshiStakers,0x943a1B677da0Ac80F380F08731faE841B1201402,0x000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000002644c5330744c5331435255644a54694253553045675546564354456c4449457446575330744c533074436b314a53554a4a616b464f516d64726357687261556335647a424351564646526b464254304e425554684254556c4a516b4e6e53304e425555564264564a464f53395956585650596b3969646c4e5a564549346148454b56697449526a46745a5456794d31425655316c7a4d6a5632616b313652466834553246304e6a464963304a47566e566b4e6a527656304d34636e46314d6a564f5433684e5747354e6456567062454a36626d46505767703464546c59574446464e6e564a5245637961465635536a5676654664554e56633253554d7664314a324e4551784e56466d525452714d6b356c4e307772527a526e4b30745156576c7a57457874647a64585a7a6c5a436d746f645668735a6d6c4f556d356d646d394d536c644d626e673355323136624646685648517a4d4552695a7a52344d6d744b626c526b5a44633163474a6e596b4d725a546c5359324e7a4e573555564574365a33494b516b31775a6e6c6b5332773063455972656c524f4f475a7655455254566b35554e7a56614f484e6a5156684f65446c4f516d6445656a6478554642364e55566d61565a6e647a427a5a5842544d54427a516e5a51554170305a334268623239485646526b616c70744d46524a4f445a704e485a7a544731745455347764305671576d317362446c48536a6b77526d463257554e705758513064336c7463457032647a52745453394265453976436e56525355524255554643436930744c5330745255354549464a545153425156554a4d53554d675330565a4c5330744c53304b00000000000000000000000000000000000000000000000000000000
VitalikValidators,0x943a1B677da0Ac80F380F08731faE841B1201402,0x000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000002644c5330744c5331435255644a54694253553045675546564354456c4449457446575330744c533074436b314a53554a4a616b464f516d64726357687261556335647a424351564646526b464254304e425554684254556c4a516b4e6e53304e4255555642654859355a584643525652495256526f556e52474e3356594f54514b6547644754464e7854556835546d396f626c5a72517a4e6f53305a7664586c365531684e626e704a4f56466d6347357552335248616c52454e6d684353797449547a4658566e6c765530746153316469526a46474f416f3556466c4d51575a52526b6c4c596c4e43626b39706279747a575567326158423652546c4355577454597a5a6e56693932546b5a6961316c4f576e426c4d554e50546c56334f474a314e3368475956526c4d574670436b63784e5559326455644d63316c70617a6c33576e5a694d6e684f4d6e52364b326f334f55526f55545a6e5a7a5a4651564d30656d564a555574726179395455466f795357746d636b4a51624568785a3164465357774b51586334624759336346526d5248517764465673556c6f35566e524b56484a49596b7832644870515246566e51565a6a646b4e455646464663324e754f585a595a545a3355475a485346686f5346526164455a3564776f324d58644a5757466e596a463157484e6b566e6c4e566b4e614c324d354e576443524652594f544e595247773165484e494f476c4e656b7469576a4e5a56576372563252724e4849344d316c514c32786e646e4243436d56525355524255554643436930744c5330745255354549464a545153425156554a4d53554d675330565a4c5330744c53304b00000000000000000000000000000000000000000000000000000000
MergeTwins,0x943a1B677da0Ac80F380F08731faE841B1201402,0x000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000002644c5330744c5331435255644a54694253553045675546564354456c4449457446575330744c533074436b314a53554a4a616b464f516d64726357687261556335647a424351564646526b464254304e425554684254556c4a516b4e6e53304e42555556424d32593362477442516e4979634764684c33464b513056325746514b5330646d5a7a64725a45633564445271556b78785657673051315a3065585a75616938765933567163474a7761546b32566e4a50615646614d3246344e48466a51323154655767724e3355325a47686f4d32347956516f7a616e564659584d76616d6479516c7042596d78684e57747553566779646d4a7a4d30646c5a476876655646574f57647354474a5564585a4764324642636b527854546c334d554e4b62556c4259565232516e4a77436d70516254463252305a6f523046594d306c6853326f775a6d395954455231616b5668515851774e6b7045574670764f466875567a5935636b517254304a725231524f5748564d536d4e51615652796379737663304d4b5932517a643342544d6c52754e486f3364797449526a4d795a4563334d6c5642617a4a30556b744f55325672516a4a49596e6c6e65554e795933565a64457051516b5a574b7a6853556e68785a454a684b7a526c62417045616d644b6431643157446735615652446354685354474e4b4e30737a623163774c323961576b31535456683355555a5861586c45575746306169746b5332566e524468725a485a774f55784a5548687555485a75436d64335355524255554643436930744c5330745255354549464a545153425156554a4d53554d675330565a4c5330744c53304b00000000000000000000000000000000000000000000000000000000
CryptoManufaktur,0x59eCf48345A221E0731E785ED79eD40d0A94E2A5,0x000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000002644c5330744c5331435255644a54694253553045675546564354456c4449457446575330744c533074436b314a53554a4a616b464f516d64726357687261556335647a424351564646526b464254304e425554684254556c4a516b4e6e53304e425555564265464e7955475a5a4e57686c5356704d656e46704e4735596448494b5a565279655452754d574a365632785757554a57646d4e4857475a7057576451525863776147396a6553747a546c466e5a334a494e325671565556506257746c6347704d646d5531637a426a4d586378566a684d52776f78616e644e61465a6b52557457566a5653546d4a54624442324f5646764f585673534646775a465a584d445a6a616b4a4e5a30785a637a5579643370795a316777595441764e48685a556b31524d4774784d554d78436a6735596b313665584a56616b6434616c4e544d6e63765933464854304e4c62325576646e7052646a493155564e76557a566f4b31465a554568716133705a63444a6b4d6b4658597a4e6d6247684b4d47524f576b6f4b5632786a5533645a62586c6e5758645052577379543034346454466b536c424353576c5552444a48515574684e56523263545a756447786857553550627a5656556b35695a53744959554647526d7858574730316151705662314274556939434e57465963446855566b35345a314177565855775647646a555570696355347a5258703254456c354e48564252576c6e5747646d63554e4d536d35514f555250566d787554574d7651554a69436b35335355524255554643436930744c5330745255354549464a545153425156554a4d53554d675330565a4c5330744c53304b00000000000000000000000000000000000000000000000000000000
CryptoCom,0xa5cfD290965372553Efd5fDaeB91C335207b76E2,0x000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000002644c5330744c5331435255644a54694253553045675546564354456c4449457446575330744c533074436b314a53554a4a616b464f516d64726357687261556335647a424351564646526b464254304e425554684254556c4a516b4e6e53304e4255555642623364464e303946596e643554477432636c6f7756465530616d6f4b6232393553555a34546e5a6e636c6b34526d6f7256334e736556705562486c714f4656455a6b5a7957576731565734796454525a545752425a53746a5547597857457372515339514f5668594e3039434e47356d4d51705062306457516a5a33636b4d76616d684d596e5a50534459314d484a3556566c766347565a6147785457486848626b5130646d4e3256485a6a6355784d516974315a54497661586c546546464d634670534c7a5a57436e4e554d325a47636b5676626e704756484675526b4e33513059794f476c51626b7057516d70594e6c517653474e55536a553153555272596e52766447467956545a6a6433644f543068755347743656334a324e326b4b64486c5161314930523255784d576874566b633555577053543351314e6d566f57475a4763305a764e55317855335a7863466c776246687253533936565535744f476f76624846465a465577556c6856636a517854416f7961486c4c57533977566d707a5a32316c56484e4f4e79396163554644613068355a546c47596d74574f565976566d4a556144646f56315a4d5648464855326733516c6b765244646e643039335a6e564c61584579436c52335355524255554643436930744c5330745255354549464a545153425156554a4d53554d675330565a4c3838383838353200000000000000000000000000000000000000000000000000000000
AnonymousGroup,0xa5cfD290965372553Efd5fDaeB91C335207b76E2,0x000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000002644c5330744c5331435255644a54694253553045675546564354456c4449457446575330744c533074436b314a53554a4a616b464f516d64726357687261556335647a424351564646526b464254304e425554684254556c4a516b4e6e53304e4255555642623364464e303946596e643554477432636c6f7756465530616d6f4b6232393553555a34546e5a6e636c6b34526d6f7256334e736556705562486c714f4656455a6b5a7957576731565734796454525a545752425a53746a5547597857457372515339514f5668594e3039434e47356d4d51705062306457516a5a33636b4d76616d684d596e5a50534459314d484a3556566c766347565a6147785457486848626b5130646d4e3256485a6a6355784d516974315a54497661586c546546464d634670534c7a5a57436e4e554d325a47636b5676626e704756484675526b4e33513059794f476c51626b7057516d70594e6c517653474e55536a553153555272596e52766447467956545a6a6433644f543068755347743656334a324e326b4b64486c5161314930523255784d576874566b633555577053543351314e6d566f57475a4763305a764e55317855335a7863466c776246687253533936565535744f476f76624846465a465577556c6856636a517854416f7961486c4c57533977566d707a5a32316c56484e4f4e79396163554644613068355a546c47596d74574f565976566d4a556144646f56315a4d5648464855326733516c6b765244646e643039335a6e564c61584579436c52335355524255554643436930744c5330745255354549464a545153425156554a4d53554d6753303132333635343738393100000000000000000000000000000000000000000000000000000000
ChuckNorrisOperator,0xa5cfD290965372553Efd5fDaeB91C335207b76E2,0x000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000002644c533038393536373839644a54694253553045675546564354456c4449457446575330744c533074436b314a53554a4a616b464f516d64726357687261556335647a424351564646526b464254304e425554684254556c4a516b4e6e53304e4255555642623364464e303946596e643554477432636c6f7756465530616d6f4b6232393553555a34546e5a6e636c6b34526d6f7256334e736556705562486c714f4656455a6b5a7957576731565734796454525a545752425a53746a5547597857457372515339514f5668594e3039434e47356d4d51705062306457516a5a33636b4d76616d684d596e5a50534459314d484a3556566c766347565a6147785457486848626b5130646d4e3256485a6a6355784d516974315a54497661586c546546464d634670534c7a5a57436e4e554d325a47636b5676626e704756484675526b4e33513059794f476c51626b7057516d70594e6c517653474e55536a553153555272596e52766447467956545a6a6433644f543068755347743656334a324e326b4b64486c5161314930523255784d576874566b633555577053543351314e6d566f57475a4763305a764e55317855335a7863466c776246687253533936565535744f476f76624846465a465577556c6856636a517854416f7961486c4c57533977566d707a5a32316c56484e4f4e79396163554644613068355a546c47596d74574f565976566d4a556144646f56315a4d5648464855326733516c6b765244646e643039335a6e564c61584579436c52335355524255554643436930744c5330745255354549464a545153425156554a4d53554d675330565a4c3838383838353200000000000000000000000000000000000000000000000000000000
Beaconchain,0xa5cfD290965372553Efd5fDaeB91C335207b76E2,0x000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000002644c5330744c5331435255644a54694253553045675546564354456c4449457446575330744c533074436b314a53554a4a616b464f516d64726357687261556335647a424351564646526b464254304e425554684254556c4a516b4e6e53304e4255555642623364464e303946596e643554477432636c6f7756465530616d6f4b6232393553555a34546e5a6e636c6b34526d6f7256334e736556705562486c714f4656455a6b5a7957576731565734796454525a545752425a53746a5547597857457372515339514f5668594e3039434e47356d4d51705062306457516a5a33636b4d76616d684d596e5a50534459314d484a3556566c766347565a6147785457486848626b5130646d4e3256485a6a6355784d516974315a54497661586c546546464d634670534c7a5a57436e4e554d325a47636b5676626e704756484675526b4e33513059794f476c51626b7057516d70594e6c517653474e55536a553153555272596e52766447467956545a6a6433644f543068755347743656334a324e326b4b64486c5161314930523255784d576874566b633555577053543351314e6d566f57475a4763305a764e55317855335a7863466c776246687253533936565535744f476f76624846465a465577556c6856636a517854416f7961486c4c57533977566d707a5a32316c56484e4f4e79396163554644613068355a546c47596d74574f565976566d4a556144646f56315a4d5648464855326733516c6b765244646e643039335a6e564c61584579436c52333132334255554643436930744c5330745255354549464a545153425156554a4d53554d675330565a4c3838383838353200000000000000000000000000000000000000000000000000000000
BinanceInc,0xa5cfD290965372553Efd5fDaeB91C335207b76E2,0x000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000002644c5330744c5331435255644a54694253553045675546564354456c4449457446575330744c533074436b314a53554a4a616b464f516d64726357687261556335647a424351564646526b464254304e425554684254556c4a516b4e6e53304e4255555642623364464e303946596e643554477432636c6f7756465530616d6f4b6232393553555a34546e5a6e636c6b34526d6f7256334e736556705562486c714f4656455a6b5a7957576731565734796454525a545752425a53746a5547597857457372515339514f5668594e3039434e47356d4d51705062306457516a5a33636b4d76616d684d596e5a50534459314d484a3556566c766347565a6147785457486848626b5130646d4e3256485a6a6355784d516974315a54497661586c546546464d634670534c7a5a57436e4e554d325a47636b5676626e704756484675526b4e33513059794f476c51626b7057516d70594e6c517653474e55536a553153555272596e52766447467956545a6a6433644f543068755347743656334a324e326b4b64486c5161314930523255784d576874566b633555577053543351314e6d566f57475a4763305a764e55317855335a7863466c776246687253533936565535744f476f76624846465a465577556c6856636a517854416f7961486c4c57533977566d707a5a32316c56484e4f4e79396163554644613068355a546c47596d74574f565976566d4a556144646f56315a4d5648464855326733516c6b765244646e643039335a6e564c61584579436c52335355524255554643436930744c3535355255354549464a545153425156554a4d53554d675330565a4c3838383838353200000000000000000000000000000000000000000000000000000000
0xA1EU,0x0f14E34723997e1E1e2B7E3760178c98B22651ab,0x000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000002644c5330744c5331435255644a54694253553045675546564354456c4449457446575330744c533074436b314a53554a4a616b464f516d64726357687261556335647a424351564646526b464254304e425554684254556c4a516b4e6e53304e42555556424d4842744d446c6a5a79733264305a584e3239354e433978626a454b617a6457626d6c45546c4e7561327447636b6c745930464254306f3453556c56636d497a52303550593267324b304658517939515a6d5a505a6d357a4e546473554752455647704962314d775369395a55476c315451704a4e797433516e6853617a525855336f30556e644f62554e565a564a425331687553544177645739785444677263475a354c335243655868544e47784a546a4e6a5469395052576457523164334d304a32593078764369743054315a58543346565257354764585656656a644f613152504d46464b55444e58627a423454456b79576b56616544593454584a3352334e366347314c6456527254446449636a63314e48425451304e595132384b5a6b684359335a3464474659546d314f627a5646624770765a304d72614556494d466447574559765a7a6b305a336c485a6d4e72596c427352565668576c5231626a465a646e4179546e564c59324d79626d3553656770335432316b536c4e35656e64566247466c624570506144645351574e4b4d7a4e52516b74565556457256464242534734314e47645a4d32684b526b7853546c59354e454a734d336435596d52504d47784b4f574633436a4a335355524255554643436930744c5330745255354549464a545153425156554a4d53554d675330565a4c5330744c53304b00000000000000000000000000000000000000000000000000000000
