Category,Unit,Forking / Migrating,Manual,E2E,Integration,UI,Echidna / Fuzzing,Monday Link,Examples
"Cluster / Validators
",80,95,75,"APPROVED
Gabriel",0,0,0,,"add / remove validators
add / remove from existing clusters
"
Migrate,60,40,80,0,0,0,0,,"with / without operator fees
13 operators
while / while not liquidated
all blocked functions"
Operator,20,5,100,0,0,0,0,,"add / remove operator
declare / execute / cancel fees
all gets before and after a cluster migrates
withdraws / fee changes before / during / after migration"
Liquidate / Reactivate,0,0,0,0,0,0,0,,"before / during / after migrations
liquidate self / liquidated from liquidator
liquidated from threshold reason and also from collateral reason"
Balances Cluster,0,0,0,0,0,0,0,,"register validator new / existing checking balance emits is correct
Every cluster func has correct balance emit (withdraw / deposit / remove etc..)"
Migrate Balances Cluster,0,0,0,0,0,0,0,,"SSV balances withdrawn are correct (if it says withdrawing 20 ssv make sure its supposed to be 20 not just that 20 came to the wallet)
Eth balances 
Liquidated clusters do correct accounting "
Migrate Balances Operator,0,0,0,0,0,0,0,,"ssv accrual stops and eth accrual starts (with / without other non migrated clusters)
Liquidated clusters do correct operator accounting "
Balances Operator,0,0,0,0,0,0,0,,"all balance gets before / after migration returns exact correct balances for ssv and eth
ssv fee / eth fees before / after migration, change fee before / during / after migration etc.."
Liquidate / Reactivate Balances,0,0,0,0,0,0,0,,"Liquidation balance is exactly correct amount
Returns are in eth / ssv respectively"
Update Root,0,0,0,0,0,0,0,,"consensus with oracles
only whitelisted oracles
Correct roots "
Update Cluster Balance,0,0,0,0,0,0,0,,"Min / Max
liquidations are correct (right on the line situations liquidate / dont)
anyone can execute"
Non updated functions,0,0,0,0,0,0,0,,"Exit Validator
Change Fee Recipient"
Staking Deposits,0,0,0,0,0,0,0,,"stake ssv
stake with not enough
stake without erc-20 approval"
Staking Accruance,0,0,0,0,0,0,0,,"All gets return correct balances
Claim partial / all eth"
Staking Removal,0,0,0,0,0,0,0,,"Remove SSV / correct balances
Deposit SSV while in removal phase"
Edge Cases,0,0,0,0,0,0,0,,Add validator to account A and account B
Edge Case Balances,0,0,0,0,0,0,0,,"add validators, liquidate yourself, remove validators, reactivate with 0 eth"
,0,0,0,0,0,0,0,,
,0,0,0,0,0,0,0,,
,0,0,0,0,0,0,0,,
,0,0,0,0,0,0,0,,
AI pen testing,0,0,0,0,0,0,NA,,"Coverage reports from Lior / Oleg
Yuri to understand and learn how to make coverage reports"
